,gua,gus,wua,wus
313,0.5775,53.6,0.27,54.06666666666667
314,0.5775,53.6,0.27,66.23333333333333
315,0.5775,53.6,0.27,78.4
316,0.5775,53.6,0.36,41.9
317,0.5775,53.6,0.36,54.06666666666667
318,0.5775,53.6,0.36,66.23333333333333
319,0.5775,53.6,0.36,78.4
320,0.76,9.9,0.09,41.9
321,0.76,9.9,0.09,54.06666666666667
322,0.76,9.9,0.09,66.23333333333333
323,0.76,9.9,0.09,78.4
324,0.76,9.9,0.18,41.9
325,0.76,9.9,0.18,54.06666666666667
326,0.76,9.9,0.18,66.23333333333333
327,0.76,9.9,0.18,78.4
328,0.76,9.9,0.27,41.9
329,0.76,9.9,0.27,54.06666666666667
330,0.76,9.9,0.27,66.23333333333333
331,0.76,9.9,0.27,78.4
332,0.76,9.9,0.36,41.9
333,0.76,9.9,0.36,54.06666666666667
334,0.76,9.9,0.36,66.23333333333333
335,0.76,9.9,0.36,78.4
336,0.76,20.825000000000003,0.09,41.9
337,0.76,20.825000000000003,0.09,54.06666666666667
338,0.76,20.825000000000003,0.09,66.23333333333333
339,0.76,20.825000000000003,0.09,78.4
340,0.76,20.825000000000003,0.18,41.9
341,0.76,20.825000000000003,0.18,54.06666666666667
342,0.76,20.825000000000003,0.18,66.23333333333333
343,0.76,20.825000000000003,0.18,78.4
344,0.76,20.825000000000003,0.27,41.9
345,0.76,20.825000000000003,0.27,54.06666666666667
346,0.76,20.825000000000003,0.27,66.23333333333333
347,0.76,20.825000000000003,0.27,78.4
348,0.76,20.825000000000003,0.36,41.9
349,0.76,20.825000000000003,0.36,54.06666666666667
350,0.76,20.825000000000003,0.36,66.23333333333333
351,0.76,20.825000000000003,0.36,78.4
352,0.76,31.75,0.09,41.9
353,0.76,31.75,0.09,54.06666666666667
354,0.76,31.75,0.09,66.23333333333333
355,0.76,31.75,0.09,78.4
356,0.76,31.75,0.18,41.9
357,0.76,31.75,0.18,54.06666666666667
358,0.76,31.75,0.18,66.23333333333333
359,0.76,31.75,0.18,78.4
360,0.76,31.75,0.27,41.9
361,0.76,31.75,0.27,54.06666666666667
362,0.76,31.75,0.27,66.23333333333333
363,0.76,31.75,0.27,78.4
364,0.76,31.75,0.36,41.9
365,0.76,31.75,0.36,54.06666666666667
366,0.76,31.75,0.36,66.23333333333333
367,0.76,31.75,0.36,78.4
368,0.76,42.675000000000004,0.09,41.9
369,0.76,42.675000000000004,0.09,54.06666666666667
370,0.76,42.675000000000004,0.09,66.23333333333333
371,0.76,42.675000000000004,0.09,78.4
372,0.76,42.675000000000004,0.18,41.9
373,0.76,42.675000000000004,0.18,54.06666666666667
374,0.76,42.675000000000004,0.18,66.23333333333333
375,0.76,42.675000000000004,0.18,78.4
